,0
0,35.74354239636196
1,36.902975480596325
2,38.16283534488051
3,39.43909168672908
4,40.71853179049979
5,41.99855065019026
6,43.27867925635425
7,44.558829583473546
8,45.83898444243444
9,47.11914046223639
10,48.39929740155487
11,49.67945661335
12,50.95962357172839
13,52.23981361803728
14,53.52007380150112
15,54.80053041563465
16,56.08150270742447
17,57.36357986678278
18,58.64833516084882
19,59.93793294710977
20,61.23652991525533
21,62.55029894472436
22,63.88734839977462
23,65.25923104292252
24,66.666180784652
25,68.10740289081667
26,69.5691292944932
27,71.01471562131768
28,72.3725026592951
29,73.58340783038138
30,74.58410706373462
31,75.33338333767932
32,75.81571896809405
33,76.04706666643752
34,76.07748471127948
35,75.97790546641241
36,75.78941138156274
37,75.57156438909982
38,75.38731857266853
39,75.22869688195719
40,75.10724246500263
41,75.01361816212479
42,74.93561642720326
43,74.8763710314242
44,74.82515446868257
45,74.7783921237548
46,74.73288777950941
47,74.68887158435689
48,74.64556283944722
49,74.60237701131547
50,74.559038664916
51,74.51572365657833
52,74.47264586745487
53,74.42849108709055
54,74.3863444551258
55,74.34239097234511
56,74.29948719660314
57,74.25561228158885
58,74.21212486585607
59,74.16833803589897
60,74.12645112622313
61,74.08719087097721
62,74.0476320195176
63,74.00603267535334
64,73.96705524199484
65,73.92533979685442
66,73.87945702064798
67,73.84724681678121
68,73.82589677285489
69,73.7724347601142
70,73.71811396397788
71,73.68004258199416
72,73.63757610040525
73,73.61232319321472
74,73.6194061593067
75,73.65244552258314
76,73.73301353893959
77,73.74681242113961
78,73.7202915547731
79,73.64289552474858
80,73.52627228393722
81,73.44271046422405
82,73.32787469999312
83,73.2565783910867
84,73.22945604489273
85,73.17564750165567
86,73.09434824905037
87,73.01264194435994
88,72.94293749295086
89,72.89120236670107
90,72.83471719645031
91,72.78878032781476
92,72.74662096855407
93,72.70200313445997
94,72.6560922007748
95,72.61812780423504
96,72.5700759043605
97,72.52554643110473
98,72.47764950056039
99,72.43395151731988
100,72.38695783351714
101,72.3434890076231
102,72.29875168680309
103,72.25513077738995
104,72.21203970289633
105,72.16752269271846
106,72.12315421856418
107,72.08048094504731
108,72.03602793038041
109,71.99432993458439
110,71.95127160658801
111,71.90673919585524
112,71.86238487805909
113,71.81952205988259
114,71.77519081542357
115,71.7313921598158
116,71.68826087073549
117,71.64659192856962
118,71.60485693595918
119,71.55871103728697
120,71.51547794912663
121,71.4724315428733
122,71.42719832523233
123,71.38373837601105
124,71.34301131454617
125,71.30031400360392
126,71.25586590319126
127,71.21232008278476
128,71.16818166974444
129,71.12183145130125
130,71.07835112126301
131,71.03651515393408
132,70.99253333894873
133,70.94893027460496
134,70.90567201579181
135,70.86318807671941
136,70.81884755899341
137,70.77535156728221
138,70.73357258205424
139,70.69010200158417
140,70.64741768932312
141,70.6037501182073
142,70.5613577859119
143,70.51542662297236
144,70.47187110167351
145,70.42944839341587
146,70.3860028046818
147,70.34267538785308
148,70.29933425877185
149,70.2574722940283
150,70.2112604550904
151,70.16886208239069
152,70.12411721227933
153,70.0804831522646
154,70.0364202855609
155,69.99277315006789
156,69.94980994925328
157,69.90464324856627
158,69.86220337469439
159,69.81886513266602
160,69.77574485491384
161,69.73289107713194
162,69.68840590803923
163,69.64504254522157
164,69.60128189371791
165,69.55776024275004
166,69.51474218917109
167,69.47088553336532
168,69.42904446439982
169,69.38503586560132
170,69.34048301672652
171,69.29648835845923
172,69.25334222941781
173,69.21066740702454
174,69.16726978992986
175,69.12465572419602
176,69.0822288338048
177,69.03823075527576
178,68.99312149444604
179,68.9493901064294
180,68.906146210477
181,68.86356218015135
182,68.82167772588772
183,68.77791204107479
184,68.73351168942807
185,68.68816878001235
186,68.64599360085153
187,68.60251178817491
188,68.56023754679904
189,68.5187221356905
190,68.4761001449779
191,68.43343768587441
192,68.39160461156042
193,68.34636930274603
194,68.30186396479151
195,68.25684028633601
196,68.21686706862343
197,68.18570746411359
198,68.17296443558652
199,68.19893698643311
200,68.34296446679859
201,68.75938343558471
202,69.85626935120538
203,72.4701132217198
204,77.02079365824224
205,82.4794150264306
206,88.40781419672261
207,93.15291201939608
208,99.09330209797099
209,103.87482359864428
210,107.87353897511595
211,110.11657923895811
212,111.35852994569656
213,112.0734152950798
214,112.51387721734842
215,112.77093831772035
216,112.95356710843765
217,113.12411068705677
218,113.28283195265878
219,113.4442912700934
220,113.63486425961553
221,113.86689017184236
222,114.1282487618652
223,114.49638713479352
224,115.08745198831942
225,115.84163466635707
226,116.7919761115186
227,122.29992512745171
228,129.496550582254
229,138.69342218908605
230,147.96424894462652
231,154.37344841844336
232,158.29567345922945
233,160.92777090420722
234,162.27925695942514
235,162.9134839685875
236,163.33735186207292
237,163.69169571118888
238,164.02278722737057
239,164.34103293594842
240,164.65621161353417
241,164.97013543036562
242,165.28418560108275
243,165.59764008013872
244,165.91077310746954
245,166.22411273361595
246,166.5375438543337
247,166.85008748851595
248,167.16264438488943
249,167.4751499562212
250,167.78774946697644
251,168.09908844183508
252,168.4004852170333
253,893.3559141328848
254,313.88346203915205
255,314.8268530684469
256,315.70754380297257
257,316.58767527895293
258,317.46780862903177
259,318.3479420905071
260,319.2280762232077
261,320.10821180546765
262,320.98835050468847
263,321.8684889148485
264,322.748625234972
265,323.62876051855784
266,324.5088940690459
267,325.3890267919765
268,326.2691593586618
269,327.14929189804815
270,328.02942443208013
271,328.9095569651258
272,329.7896894980854
273,330.6698220310428
274,331.54995456399854
275,332.43008709695107
276,333.3102196298871
277,334.1903521627584
278,335.07048469072225
279,335.8677746988058
280,310.63111255973445
281,177.7179448133997
282,177.8298947305041
283,178.0998851145206
284,178.41374538384997
285,178.7263466384773
286,179.03208616263686
287,179.34713364878505
288,179.66253769859532
289,179.97615508186882
290,180.28853731894563
291,180.6011963531693
292,180.91248879441903
293,181.2263861338037
294,181.53609269229815
295,181.85130294874637
296,182.15816357015547
297,182.40130276754275
298,182.43397975698574
299,180.50121172224195
300,179.97575661542493
301,174.042952184639
302,164.25916502904553
303,127.00833639519455
304,125.028275116189
305,123.54180400033287
306,123.7329858290037
307,124.00384420394401
308,124.2295601025538
309,124.33386660028476
310,124.39484256209515
311,123.32765061050117
312,120.61191096422914
313,120.86817700498855
314,121.00362259452022
315,120.1729574290578
316,93.79316993176701
317,78.97268289154306
318,65.50420962579615
319,64.55680828856154
320,64.08240664996501
321,63.95710258548321
322,64.35275967072639
323,64.28806213128371
324,63.8462008226656
325,63.086509909867786
326,62.99177596927805
327,63.31497283285183
328,64.61027566624887
329,64.97534129833684
330,65.44894105088161
331,65.32771963188165
332,64.6878966837226
333,62.61408141717989
334,62.32456910141279
335,62.25271849180768
336,62.247220116916296
337,62.3396373172914
338,62.38446675332726
339,62.401608986638884
340,62.34132806433314
341,62.302559306363825
342,62.2563038663564
343,62.2227299791044
344,62.13245303606285
345,62.01547221340041
346,61.83151216355829
347,61.66420927107981
348,61.60700379002127
349,61.597121904749805
350,61.627763183232176
351,61.624627249574225
352,61.56895511427217
353,61.47335409822282
354,61.35480726286451
355,61.307888525677214
356,61.26503542243601
357,61.2239044628575
358,61.179144809951225
359,61.13467068977546
360,61.090255835082885
361,61.04551572345918
362,61.00671024042853
363,60.965298113815535
364,60.91798432155873
365,60.873151851718035
366,60.82328134491098
367,60.78052219883754
368,60.743689071404326
369,60.71501844989742
370,60.696122273383594
371,60.658475699907584
372,60.59501493047259
373,60.53689849228498
374,60.47701770107631
375,60.4321149781949
376,60.38818121108625
377,60.349336454446295
378,60.30769196677311
379,60.263129177488665
380,60.21849536720415
381,60.17145990399526
382,60.12920053895552
383,60.08493540302861
384,60.046619690189885
385,60.00546422760121
386,59.961022634159264
387,59.91550868364255
388,59.8671993051083
389,59.82427463193863
390,59.78161078926734
391,59.73860525603401
392,59.69875115468692
393,59.65871111825765
394,59.60680311675777
395,59.56223254357561
396,59.519622730403896
397,59.47918075677714
398,59.43844540549122
399,59.400073475032904
400,59.372163031384666
401,59.316749785366774
402,59.264471052864124
403,59.21532119781638
404,59.170404998536554
405,59.12778149603247
406,59.08374832639842
407,59.04190814449647
408,58.99798851799751
